epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,1856.15,0.65183,0.36323,0.8975,0.99702,0.95833,0.96452,0.70429,1.00716,0.4332,0.96659,0.0008912,0.0008912,0.0008912
170,1884.73,0.63866,0.35813,0.89338,0.99729,0.95833,0.98243,0.73277,0.99801,0.41013,0.96305,0.0008846,0.0008846,0.0008846
171,1911.37,0.64885,0.36941,0.89089,0.99693,0.95833,0.9934,0.74745,1.00497,0.39441,0.96769,0.000878,0.000878,0.000878
172,1938.37,0.64808,0.36333,0.88757,1,0.99749,0.995,0.73142,0.9714,0.36821,0.9525,0.0008714,0.0008714,0.0008714
173,1965.12,0.63769,0.36032,0.89036,0.99733,0.95833,0.97633,0.72954,1.00605,0.45264,0.93633,0.0008648,0.0008648,0.0008648
174,1991.91,0.64768,0.35849,0.88859,0.99793,0.95833,0.97033,0.7237,1.00798,0.44583,0.96064,0.0008582,0.0008582,0.0008582
175,2018.78,0.62682,0.35098,0.89136,1,0.95688,0.97124,0.72281,1.01165,0.48463,0.96438,0.0008516,0.0008516,0.0008516
176,2045.56,0.64797,0.36797,0.89407,0.99566,0.95833,0.96627,0.75495,0.96196,0.41207,0.93292,0.000845,0.000845,0.000845
177,2072.29,0.62983,0.35252,0.88923,0.99678,0.95833,0.96246,0.71956,0.96839,0.43636,0.94189,0.0008384,0.0008384,0.0008384
178,2100.75,0.65334,0.36272,0.89133,1,0.99699,0.995,0.74297,0.97592,0.37035,0.93851,0.0008318,0.0008318,0.0008318
179,2127.32,0.63307,0.35631,0.89007,0.9994,1,0.995,0.74095,0.99565,0.36234,0.94805,0.0008252,0.0008252,0.0008252
180,2154.11,0.63565,0.35283,0.88937,1,0.99858,0.995,0.72994,1.0153,0.35874,0.95797,0.0008186,0.0008186,0.0008186
181,2180.9,0.64016,0.35316,0.88843,1,0.99729,0.995,0.74287,0.99426,0.37247,0.94248,0.000812,0.000812,0.000812
182,2209.29,0.62389,0.35219,0.88742,1,0.99923,0.995,0.76136,1.00131,0.37245,0.9322,0.0008054,0.0008054,0.0008054
183,2235.88,0.635,0.36281,0.88856,1,0.99718,0.995,0.74332,0.99028,0.38464,0.93967,0.0007988,0.0007988,0.0007988
184,2262.62,0.62614,0.34944,0.88452,1,0.95307,0.97124,0.73048,0.98154,0.41861,0.9335,0.0007922,0.0007922,0.0007922
