epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,8129.85,0.63266,0.33288,0.99201,0.96459,0.9677,0.98389,0.84303,0.62422,0.30134,0.98877,0.005677,0.005677,0.005677
133,8191.47,0.62833,0.32975,0.98196,0.96478,0.96869,0.9825,0.8462,0.62398,0.30119,0.9899,0.005644,0.005644,0.005644
134,8254.77,0.63205,0.32823,0.98844,0.96335,0.96504,0.98217,0.84016,0.62734,0.30582,0.98983,0.005611,0.005611,0.005611
135,8316.6,0.62748,0.32039,0.98185,0.95733,0.97696,0.98256,0.84431,0.6245,0.30412,0.98723,0.005578,0.005578,0.005578
136,8378.47,0.6299,0.32652,0.98043,0.95827,0.97388,0.98269,0.84324,0.61981,0.30179,0.98441,0.005545,0.005545,0.005545
137,8440.48,0.63406,0.33387,0.99094,0.96061,0.97577,0.98115,0.8423,0.62477,0.30007,0.988,0.005512,0.005512,0.005512
138,8504.09,0.62962,0.32402,0.98673,0.96107,0.96993,0.98155,0.84118,0.62431,0.30216,0.98641,0.005479,0.005479,0.005479
139,8565.59,0.62947,0.32894,0.98294,0.96443,0.96739,0.9816,0.84126,0.62792,0.30274,0.98906,0.005446,0.005446,0.005446
140,8628.93,0.63161,0.32593,0.98578,0.96075,0.96906,0.98219,0.84281,0.62497,0.29972,0.99036,0.005413,0.005413,0.005413
141,8691.21,0.63106,0.32982,0.98537,0.96592,0.96741,0.98171,0.84195,0.61989,0.30099,0.98557,0.00538,0.00538,0.00538
142,8752.51,0.62819,0.32768,0.98302,0.96621,0.96519,0.97969,0.8387,0.62153,0.30441,0.98838,0.005347,0.005347,0.005347
143,8814.68,0.62508,0.32458,0.98703,0.96436,0.96109,0.97987,0.83936,0.62142,0.30649,0.98583,0.005314,0.005314,0.005314
144,8876.54,0.62486,0.32507,0.9838,0.95848,0.96735,0.9793,0.83906,0.62201,0.30628,0.9865,0.005281,0.005281,0.005281
145,8938.97,0.62509,0.32561,0.98218,0.95846,0.96846,0.98158,0.84324,0.62154,0.30741,0.98639,0.005248,0.005248,0.005248
146,9003.76,0.63333,0.32517,0.9869,0.9554,0.97198,0.98142,0.84373,0.62408,0.30456,0.9879,0.005215,0.005215,0.005215
147,9065.4,0.62292,0.32404,0.9802,0.95766,0.97282,0.98083,0.8461,0.621,0.30485,0.98711,0.005182,0.005182,0.005182
148,9129.51,0.62607,0.32115,0.9842,0.96573,0.9624,0.98271,0.84383,0.626,0.30642,0.98845,0.005149,0.005149,0.005149
149,9198.71,0.61965,0.32457,0.97439,0.96833,0.95741,0.98209,0.84461,0.62973,0.30627,0.99211,0.005116,0.005116,0.005116
150,9263.64,0.62339,0.32306,0.98501,0.96704,0.96076,0.98122,0.84269,0.62927,0.30797,0.99311,0.005083,0.005083,0.005083
151,9328.26,0.61693,0.32142,0.9747,0.96926,0.95989,0.98148,0.84325,0.63003,0.30586,0.99308,0.00505,0.00505,0.00505
152,9394.44,0.62427,0.32464,0.98065,0.96784,0.95973,0.98142,0.84369,0.63054,0.30241,0.99145,0.005017,0.005017,0.005017
153,9459.83,0.61472,0.32566,0.98243,0.9667,0.95866,0.9823,0.84259,0.63172,0.3033,0.99259,0.004984,0.004984,0.004984
154,9523.03,0.61619,0.32025,0.98177,0.96608,0.95858,0.98251,0.84076,0.62824,0.30198,0.99057,0.004951,0.004951,0.004951
155,9588.55,0.61165,0.31752,0.97535,0.96535,0.95883,0.98212,0.84442,0.62691,0.30353,0.99158,0.004918,0.004918,0.004918
156,9651.86,0.61486,0.3245,0.97813,0.96502,0.9583,0.9814,0.84347,0.62776,0.30482,0.99236,0.004885,0.004885,0.004885
157,9718.93,0.62103,0.32087,0.98212,0.96599,0.96127,0.98196,0.84586,0.62763,0.31129,0.99164,0.004852,0.004852,0.004852
158,9785.38,0.61798,0.3268,0.97987,0.9649,0.9613,0.98177,0.84557,0.63053,0.31146,0.99469,0.004819,0.004819,0.004819
159,9849.53,0.62071,0.3233,0.98117,0.96399,0.96067,0.98222,0.83904,0.63326,0.31661,0.99641,0.004786,0.004786,0.004786
160,9912.08,0.60889,0.31632,0.97497,0.96025,0.96358,0.9823,0.83894,0.63158,0.31064,0.9956,0.004753,0.004753,0.004753
161,9976.86,0.6213,0.3176,0.97862,0.9592,0.96131,0.98224,0.84054,0.63803,0.31145,0.99808,0.00472,0.00472,0.00472
162,10041.6,0.61453,0.32038,0.97851,0.96065,0.96249,0.98229,0.84164,0.63914,0.31086,0.99932,0.004687,0.004687,0.004687
163,10104.3,0.60505,0.31497,0.97756,0.96051,0.96178,0.98193,0.8425,0.64049,0.31136,0.99959,0.004654,0.004654,0.004654
164,10170.5,0.6063,0.31814,0.9702,0.95497,0.9721,0.9814,0.84301,0.63948,0.30851,0.99968,0.004621,0.004621,0.004621
165,10237.2,0.61352,0.3182,0.97979,0.95635,0.97098,0.98028,0.84075,0.63657,0.30784,0.99681,0.004588,0.004588,0.004588
166,10300.3,0.60665,0.31382,0.97171,0.95599,0.972,0.98103,0.84252,0.63345,0.30436,0.99619,0.004555,0.004555,0.004555
167,10363.7,0.61059,0.31444,0.97645,0.95649,0.97229,0.98133,0.8427,0.63071,0.30268,0.99491,0.004522,0.004522,0.004522
168,10428.2,0.61095,0.31589,0.97609,0.95587,0.96788,0.98153,0.84339,0.63399,0.30237,0.99501,0.004489,0.004489,0.004489
169,10494.5,0.60267,0.31269,0.97713,0.9543,0.97371,0.9819,0.84724,0.63329,0.3015,0.99364,0.004456,0.004456,0.004456
170,10558.9,0.60456,0.31195,0.97481,0.95532,0.97364,0.98211,0.84486,0.63444,0.30127,0.99382,0.004423,0.004423,0.004423
171,10623.3,0.60125,0.31283,0.97778,0.95556,0.97318,0.98231,0.84328,0.63537,0.29909,0.99505,0.00439,0.00439,0.00439
172,10688.5,0.60459,0.31293,0.97186,0.95581,0.97295,0.98232,0.84288,0.63508,0.29909,0.99455,0.004357,0.004357,0.004357
173,10753.4,0.61143,0.31196,0.97742,0.95655,0.97134,0.98227,0.84029,0.63614,0.30059,0.9942,0.004324,0.004324,0.004324
174,10818.1,0.60323,0.31168,0.97284,0.95652,0.97127,0.98243,0.83927,0.63856,0.30074,0.99511,0.004291,0.004291,0.004291
175,10880.6,0.59696,0.31054,0.96884,0.95645,0.97039,0.98217,0.83682,0.63984,0.30456,0.99756,0.004258,0.004258,0.004258
176,10942.8,0.59933,0.30928,0.96936,0.96284,0.95992,0.98201,0.83636,0.64069,0.3065,0.99923,0.004225,0.004225,0.004225
177,11005.3,0.60029,0.30838,0.97255,0.96155,0.96137,0.98199,0.83608,0.642,0.30678,1.00066,0.004192,0.004192,0.004192
178,11069.5,0.59604,0.31044,0.96821,0.96337,0.96017,0.98204,0.83748,0.64318,0.30666,1.00379,0.004159,0.004159,0.004159
179,11133.9,0.59647,0.30901,0.97277,0.95425,0.96956,0.98192,0.83807,0.64246,0.30665,1.00398,0.004126,0.004126,0.004126
180,11200.4,0.59767,0.30804,0.96902,0.96365,0.95943,0.98151,0.83815,0.64334,0.30635,1.00553,0.004093,0.004093,0.004093
181,11262.9,0.59343,0.30747,0.97062,0.96171,0.96148,0.9818,0.83941,0.64072,0.30507,1.00439,0.00406,0.00406,0.00406
182,11327.4,0.60065,0.31517,0.9717,0.96166,0.96168,0.98183,0.83768,0.64195,0.30537,1.00349,0.004027,0.004027,0.004027
183,11389.7,0.59594,0.31166,0.9713,0.95179,0.97012,0.98145,0.83759,0.64239,0.3051,1.00359,0.003994,0.003994,0.003994
184,11452.5,0.59094,0.3052,0.96637,0.96236,0.96088,0.98065,0.83668,0.64258,0.30524,1.00279,0.003961,0.003961,0.003961
185,11519.8,0.59063,0.30701,0.9648,0.94835,0.97723,0.98111,0.83692,0.64199,0.30418,1.00187,0.003928,0.003928,0.003928
186,11587.7,0.59108,0.30717,0.96439,0.94884,0.97931,0.98108,0.83826,0.64148,0.30257,1.00163,0.003895,0.003895,0.003895
